"REGISTRO","TIPO_ENCUESTA","PC1","COD_HABITAT","PC3","COD_EDAD","PC4","PC6","PC7","PC7A","PC8","P1001_1","P1001_2","P1002_COD","P1002_1_COD","P1002_2_COD","P1003_COD","P1003_1_COD","P1003_2_COD","P1004_COD","P1004_1_COD","P1004_2_COD","P1005_1","P1005_2","P1005_3","P1006","P1007","P1008","P1009","P1010","P1011","P1012","P1013","P1013_1","P1014","P1015","P1016","P11017","P1101_A","P1102_A","P1103","P1104","P1105_COD_B_1","P1105_COD_B_2","P1105_COD_B_3","P1106","P1107","P1108_COD_B_1","P1108_COD_B_2","P1108_COD_B_3","P1109_1","P1109_2","P1109_3","P1109_4","P1109_5","P1109_6","P1109_7","P1109_8","P1017","P1018","P2102","P2003","P2004_1","P2004_2","P2004_3","P2004_4","P2004_5","P2002_CONOC_1","P2002_VALOR_1","P2002_CONOC_2","P2002_VALOR_2","P2002_CONOC_3","P2002_VALOR_3","P2002_CONOC_4","P2002_VALOR_4","P2002_CONOC_5","P2002_VALOR_5","P2103_1","P2103_2","P2103_3","P2103_4","P2103_5","P2002B_CONOC_1","P2002B_VALOR_1","P2002B_CONOC_2","P2002B_VALOR_2","P2002B_CONOC_3","P2002B_VALOR_3","P2002B_CONOC_4","P2002B_VALOR_4","P2002B_CONOC_5","P2002B_VALOR_5","P2002B_CONOC_6","P2002B_VALOR_6","P2002B_CONOC_7","P2002B_VALOR_7","P2002B_CONOC_8","P2002B_VALOR_8","P2002B_CONOC_9","P2002B_VALOR_9","P2002B_CONOC_10","P2002B_VALOR_10","P2005R","P2007R","P2008","P2008R","P2105","P2105R","P2105B","P2106","P2106A","P2009","P2010","P2012","P2013","P2014","P2015"
43,"FIJO","Sevilla","De 50.001 a 100.000","Mujer","75 o más",87,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,8,"Falta de trabajo: paro","No sabe","No sabe","Falta de trabajo: paro","No sabe","No sabe","Paro y precariedad laboral","Otros","No sabe","No sabe","PP","No sabe","Ni buena ni mala","Igual","Mejorará","Ni buena ni mala","Igual","Mejorará","Mala","Peor","Empeorará","Ni buena ni mala","Igual","No sabe","Mejor","Que suban los salarios","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Bien","Buenos profesionales"," "," ","En desacuerdo","De acuerdo","No sabe","De acuerdo","No sabe","De acuerdo","De acuerdo","No sabe","Regular (no leer)","No sabe","No sabe",7,"No sabe","No sabe",5,4,"No sabe","No"," ","Sí",10,"No"," ","No"," ","Sí",6,"No contesta","No sabe","No contesta","No contesta",4,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","No sabe","Habitualmente voto pero esa vez no","No votó","Habitualmente voto pero esta vez no","No votó","Antes de iniciar la campaña","Ha cambiado mi voto","Me gustó más el candidato el debate","Tenemos dificultades","No sabe","Religiosa","Sin estudios","Pensionista (anteriormente no ha trabajado)"," "
57,"FIJO","Huelva","Menos de 10.000","Hombre","75 o más",82,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",10,10,"Mala gestión","Escuelas insuficientes","Sanidad","Insatisfacción con los políticos","Migración de andaluces","No sabe","No sabe","No sabe","No sabe","Ninguno","PP","No contesta","Muy mala","Peor","No sabe","Mala","Igual","No sabe","Buena","Igual","Empeorará","Buena","Igual","Mejorará","Peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","No","Ni bien ni mal(no leer)","Bien en general, buena experiencia, calidad de la asistencia","Falta de profesionales médicos"," ","No","Muy mal","Otros"," "," ","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Buena","Buena","Demócrata- cristiano/na.",5,5,4,4,6,6,"Sí",7,"Sí",3,"Sí",6,"No"," ","Sí",8,7,3,6,"No contesta",5,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ciudadanos","No contesta","No fui a votar","No votó","No fui a votar","No votó","Nunca voto","No contesta","No contesta","Nos llega para vivir","No sabe","Religiosa","Diplomatura","Jubilado o pensionista (anteriormente ha trabajado)"," "
113,"FIJO","Jaén","De 10.001 a 20.000","Mujer","75 o más",76,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",5,5,"Inestabilidad política","Insatisfacción con los políticos","Inflación / pérdida de poder adquisitivo / vida cara / precio de los carburantes","Insatisfacción con los políticos","Pensiones bajas","Subasta de medicamentos","Pensiones bajas","Subasta de medicamentos","No sabe","Ninguno","Ninguno","No sabe","Ni buena ni mala","Peor","No sabe","Mala","Igual","No sabe","Ni buena ni mala","Igual","No sabe","No sabe","Igual","Se quedará igual","No sabe","Que se genere  más empleo","Crear un complemento salarial para garantizar una renta mínima más alta","Sí","Mal","Falta de profesionales médicos"," "," ","No","No sabe","No sabe"," "," ","No sabe","En desacuerdo","De acuerdo","De acuerdo","No sabe","De acuerdo","No sabe","De acuerdo","Muy mala","No sabe","No sabe",1,"No sabe",4,"No sabe","No sabe","No sabe","No"," ","Sí",5,"No"," ","No"," ","No"," ","No contesta",4,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","Habitualmente voto pero esa vez no","No votó","No fui a votar","No votó","Antes de iniciar la campaña","Vota siempre al  mismo partido"," ","Tenemos dificultades","Poco probable","Religiosa","Sin estudios","Jubilado o pensionista (anteriormente ha trabajado)"," "
126,"FIJO","Málaga","De 20.001 a 50.000","Mujer","75 o más",75,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,8,"Pensiones bajas","No sabe","No sabe","Pensiones bajas","Acceso a la vivienda","No sabe","Pensiones bajas","No sabe","No sabe","Ninguno","Ninguno","PSOE","Mala","Igual","Se quedará igual","Ni buena ni mala","Igual","No sabe","Ni buena ni mala","Igual","No sabe","No sabe","Igual","No sabe","No sabe","Que suban los salarios","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Bien","Buenos profesionales"," "," ","No","No sabe","No sabe"," "," ","No sabe","En desacuerdo","De acuerdo","De acuerdo","No sabe","De acuerdo","No sabe","De acuerdo","Regular (no leer)","Regular (no leer)","Apolítico","No sabe",6,5,"No sabe","No sabe",10,"Sí",5,"Sí",5,"Sí",4,"No"," ","No"," ","No sabe",4,"No sabe","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","Vota siempre al  mismo partido"," ","Nos llega para vivir","Nada probable","Muy religiosa","Sin estudios","Jubilado o pensionista (anteriormente ha trabajado)"," "
250,"FIJO","Granada","De 10.001 a 20.000","Mujer","45-54",49,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,5,"Inestabilidad política","No sabe","No sabe","Paro juvenil","No sabe","No sabe","No sabe","No sabe","No sabe","Ninguno","Ninguno","No contesta","Mala","Peor","Empeorará","Mala","Mejor","Mejorará","Buena","Igual","Se quedará igual","Buena","Mejor","Mejorará","Mejor","Mejorar la calidad de la educación pública","Desarrollar medidas que garanticen una conciliación real","Sí","Bien","Buena atención/trato"," "," ","Sí","Bien","Buenos profesionales"," "," ","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Buena","Buena","Conservador/a",5,7,4,1,7,8,"Sí",7,"Sí",4,"Sí",6,"Sí",2,"No"," ",7,4,6,1,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",7,"No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No votó","No contesta","No votó"," ","No contesta"," ","Nos llega para vivir","Poco probable","Religiosa","Licenciatura o Grado","Trabaja","Asalariado del sector público"
286,"MOVIL2","Sevilla","De 10.001 a 20.000","Mujer","55-64",55,"Sí","Sí, tengo la nacionalidad española"," ","No",3,5,"Corrupción política","Mal funcionamiento de la justicia","Falta de trabajo: paro","Falta de trabajo: paro","Violencia (en general)","No sabe","Excesiva presión fiscal","Paro y precariedad laboral","No sabe","Ninguno","Ninguno","Ninguno","Mala","Peor","Se quedará igual","Muy mala","Igual","Se quedará igual","Mala","Igual","Se quedará igual","Mala","Igual","Empeorará","No sabe","Que suban los salarios","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Mal","Añadir pruebas/servicios/medicamentos que no se inluyen en la seguridad social"," "," ","Sí","No sabe","No sabe"," "," ","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy buena","No sabe","Apolítico","No contesta","No contesta","No contesta","No contesta","No contesta","No contesta","Sí","No contesta","Sí",1,"No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Tenemos dificultades","No procede, ya lo perdí (NO LEER)","Poca religiosa","Formación profesional I (primer grado)","Parado/a y ha trabajado antes"," "
303,"MOVIL2","Málaga","De 50.001 a 100.000","Hombre","45-54",52,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,7,"Corrupción política","Inestabilidad política","Inmigración","Inmigración","Falta de trabajo: paro","Precariedad laboral / contrato","Jubilación","Insatisfacción con la política","Falta de trabajo: paro","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Mala","Igual","Se quedará igual","Ni mejor ni peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Bien","Buenos profesionales"," "," ","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Buena","Buena","Socialista",5,6,4,6,5,10,"No"," ","Sí",2,"No"," ","No"," ","No"," ","No contesta",6,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","PSOE","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Tenemos dificultades","Poco probable","Algo religiosa","Educación primaria","Jubilado o pensionista (anteriormente ha trabajado)"," "
332,"MOVIL2","Granada","De 100.001 o más","Mujer","65-74",73,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",5,10,"Insatisfacción con los políticos","No sabe","No sabe","Otros","No sabe","No sabe","Pensiones bajas","No sabe","No sabe","Ninguno","Todos","Ninguno","Muy mala","Peor","Empeorará","Muy mala","Igual","Se quedará igual","Buena","Peor","Empeorará","Mala","Igual","Se quedará igual","Peor","Evitar la inmigración ilegal","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Muy mal","Reducir listas/tiempos de espera de atención"," "," ","No","Mal","Nivel académico mejorable, alumnos no salen preparados"," "," ","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Regular (no leer)","Regular (no leer)","Liberal","No contesta",6,2,1,5,7,"Sí",10,"Sí",1,"Sí",8,"Sí",1,"No"," ",7,1,5,1,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Nada probable","Nada religiosa","Licenciatura o Grado","Jubilado o pensionista (anteriormente ha trabajado)"," "
345,"MOVIL2","Málaga","De 50.001 a 100.000","Hombre","75 o más",78,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,9,"Insatisfacción con la política","Paro y precariedad laboral","No sabe","Otros","No sabe","No sabe","Incivismo y violencia","No sabe","No sabe","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Peor","Se quedará igual","Mala","Igual","Empeorará","Ni buena ni mala","Peor","Empeorará","Mala","Peor","Se quedará igual","Mejor","Otro ¿Cuál? (NO LEER)","Luchar contra el fraude laboral","Sí","Bien","Buen equipamiento/medios","Buenos profesionales"," ","No","Bien","Bien, por gratuidad, ayudas, becas, libros gratis, familias desfavorecidas, cobertura a total de la población","Buenos profesionales"," ","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Buena","Buena","Conservador/a",7,5,5,3,3,5,"Sí",7,"Sí",5,"No"," ","No"," ","No"," ",5,3,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Muy probable","Poca religiosa","Diplomatura","Jubilado o pensionista (anteriormente ha trabajado)"," "
360,"MOVIL2","Huelva","Menos de 10.000","Mujer","45-54",50,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",10,9,"Insatisfacción con los políticos","Acceso difícil para los jóvenes","Inmigración","Falta de hospitales, ambulatorios / masificación","Migración de andaluces","Largas listas de espera","Paro juvenil","Precio de las hipotecas","No sabe","Ninguno","Ninguno","Ninguno","Mala","Igual","Empeorará","Ni buena ni mala","Mejor","Empeorará","Buena","Igual","No sabe","Ni buena ni mala","Mejor","No sabe","Peor","Mejorar los servicios sanitarios","Mejora o impulso de la formación profesional","Sí","Muy mal","Reducir listas/tiempos de espera de atención"," "," ","No","Muy bien","Bien, por gratuidad, ayudas, becas, libros gratis, familias desfavorecidas, cobertura a total de la población"," "," ","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","No sabe","De acuerdo","De acuerdo","En desacuerdo","Regular (no leer)","Buena","Animalista",6,6,4,1,6,9,"Sí",8,"Sí",6,"Sí",6,"Sí",5,"No"," ",6,4,6,3,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",3,"Ninguno (NO LEER)","No votaría","Habitualmente voto pero esa vez no","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Nada probable","Muy religiosa","Formación profesional I (primer grado)","Trabaja","Asalariado del sector público"
